# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[4基] fchedey  ->  f + c + he + dey
[4基] fchedypaiin  ->  f + c + he + dypaiin
[4基] fcheokair  ->  f + c + he + okair
[4基] fcheolain  ->  f + c + he + olain
[3基] fchochor  ->  f + c + hochor
[3基] fchocthar  ->  f + c + hocthar
[3基] fchoctheody  ->  f + c + hoctheody
[3基] fchodees  ->  f + c + hodees
[4基] fchodycheol  ->  f + c + h + odycheol
[3基] fchokshy  ->  f + c + hokshy
[3基] fchoky  ->  f + c + hoky
[3基] fcholdy  ->  f + c + holdy
[2基] fdeechdy  ->  f + deechdy
[2基] fdykain  ->  f + dykain
[2基] fochof  ->  f + ochof
[2基] fochor  ->  f + ochor
[2基] folaiin  ->  f + olaiin
[4基] folcfhhy  ->  f + o + lcfh + hy
[2基] folchear  ->  f + olchear
[2基] folchey  ->  f + olchey
[2基] folchol  ->  f + olchol
[2基] folchor  ->  f + olchor
[2基] fold  ->  f + old
[2基] foldaiin  ->  f + oldaiin
[2基] folor  ->  f + olor
[4基] folorarom  ->  f + o + lora + rom
[2基] folshody  ->  f + olshody
[2基] forar  ->  f + orar
[2基] fsey  ->  f + sey
[2基] fshodchy  ->  f + shodchy
[2基] fsholom  ->  f + sholom
[3基] fyshey  ->  f + y + shey
[2基] geedy  ->  g + eedy
[2基] geeem  ->  g + eeem
[2基] ihar  ->  i + har
[4基] iiincheom  ->  i + i + in + cheom
[2基] iirchal  ->  i + irchal
[3基] ikheeos  ->  i + k + heeos
[3基] ikhey  ->  i + k + hey
[3基] iphy  ->  i + p + hy
[3基] ithey  ->  i + t + hey
[4基] ithhy  ->  i + t + h + hy
[3基] ithor  ->  i + t + hor
[3基] ithy  ->  i + t + hy
[3基] kaedy  ->  k + a + edy
[3基] kaiech  ->  k + a + iech
[4基] kaiiidal  ->  k + a + ii + idal
[4基] kaiishdy  ->  k + a + i + ishdy
[3基] kairam  ->  k + a + iram
[3基] kaisar  ->  k + a + isar
[3基] kaishd  ->  k + a + ishd
[4基] kaithy  ->  k + a + it + hy
[3基] kalchdy  ->  k + a + lchdy
[3基] kalchedy  ->  k + a + lchedy
[3基] kaldaiin  ->  k + a + ldaiin
[3基] kaldaim  ->  k + a + ldaim
[3基] kaldy  ->  k + a + ldy
[3基] kalkal  ->  k + a + lkal
[3基] kalos  ->  k + a + los
[4基] kalshey  ->  k + a + l + shey
[4基] kamdam  ->  k + a + m + dam
[3基] kaolkar  ->  k + a + olkar
[3基] kara  ->  k + a + ra
[3基] karaim  ->  k + a + raim
[3基] karainy  ->  k + a + rainy
[3基] karal  ->  k + a + ral
[3基] karar  ->  k + a + rar
[3基] kararo  ->  k + a + raro
[3基] karchy  ->  k + a + rchy
[3基] kard  ->  k + a + rd
[3基] kardy  ->  k + a + rdy
[3基] karody  ->  k + a + rody
[3基] kasol  ->  k + a + sol
[4基] kccky  ->  k + c + c + ky
[4基] kchaldy  ->  k + c + ha + ldy
[4基] kchcsey  ->  k + c + hc + sey
[4基] kchdaldy  ->  k + c + hda + ldy
[3基] kchdpy  ->  k + c + hdpy
[4基] kcheedchdy  ->  k + c + hee + dchdy
[4基] kcheoey  ->  k + c + he + oey
[3基] kchochaiin  ->  k + c + hochaiin
[3基] kchochy  ->  k + c + hochy
[3基] kchokchy  ->  k + c + hokchy
[4基] kcholchdar  ->  k + c + h + olchdar
[3基] kchorchor  ->  k + c + horchor
[3基] kchoror  ->  k + c + horor
[3基] kchoty  ->  k + c + hoty
[2基] kdchody  ->  k + dchody
[3基] kechedy  ->  k + e + chedy
[4基] kecheokeo  ->  k + e + che + okeo
[3基] kechey  ->  k + e + chey
[4基] kechodshey  ->  k + e + c + hodshey
[4基] kedaleey  ->  k + e + da + leey
[4基] kedarxy  ->  k + e + da + rxy
[4基] keechey  ->  k + e + e + chey
[4基] keedeedy  ->  k + e + e + deedy
[4基] keedey  ->  k + e + e + dey
[3基] keeees  ->  k + e + eees
[4基] keeokechy  ->  k + e + e + okechy
[4基] keeolshey  ->  k + e + e + olshey
[4基] keerodal  ->  k + e + e + rodal
[4基] keeyfar  ->  k + e + e + yfar
[3基] keocthedy  ->  k + e + octhedy
[3基] keocthy  ->  k + e + octhy
[3基] keodky  ->  k + e + odky
[3基] keoky  ->  k + e + oky
[3基] keolchey  ->  k + e + olchey
[3基] keolor  ->  k + e + olor
[3基] keshed  ->  k + e + shed
[3基] keshey  ->  k + e + shey
[3基] kesoar  ->  k + e + soar
[4基] koaiphhy  ->  k + oaip + h + hy
[4基] kochardy  ->  k + o + cha + rdy
[2基] kocheor  ->  k + ocheor
[2基] kochky  ->  k + ochky
[2基] kochor  ->  k + ochor
[2基] kockhas  ->  k + ockhas
[4基] kodalchy  ->  k + o + da + lchy
[2基] kodeey  ->  k + odeey
[2基] kodshey  ->  k + odshey
[2基] kodshol  ->  k + odshol
[4基] koeeorain  ->  k + o + ee + orain
[2基] koees  ->  k + oees
[2基] kokaiin  ->  k + okaiin
[2基] koky  ->  k + oky
[2基] kolchdy  ->  k + olchdy
[2基] kolchedy  ->  k + olchedy
[2基] kolcheey  ->  k + olcheey
[2基] kolches  ->  k + olches
[2基] kolchey  ->  k + olchey
[4基] koldaky  ->  k + o + lda + ky
[2基] koldal  ->  k + oldal
[4基] koldarod  ->  k + o + lda + rod
[2基] koldy  ->  k + oldy
[4基] koleearol  ->  k + o + leea + rol
[2基] kolfchdy  ->  k + olfchdy
[2基] kolkar  ->  k + olkar
[2基] kolkedy  ->  k + olkedy
[2基] kolky  ->  k + olky
[2基] kolor  ->  k + olor
[2基] kolotam  ->  k + olotam
[2基] kolpy  ->  k + olpy
[3基] kolschees  ->  k + o + lschees
[2基] kolshd  ->  k + olshd
[2基] kolshes  ->  k + olshes
[2基] kolsho  ->  k + olsho
[4基] koltoldy  ->  k + o + lt + oldy
[2基] kolyky  ->  k + olyky
[4基] komdy  ->  k + o + m + dy
[2基] koraiin  ->  k + oraiin
[2基] korain  ->  k + orain
[4基] korare  ->  k + o + ra + re
[2基] korary  ->  k + orary
[2基] korchy  ->  k + orchy
[2基] koroiin  ->  k + oroiin
[2基] korol  ->  k + orol
[2基] korols  ->  k + orols
[3基] koshet  ->  k + o + shet
[3基] koshey  ->  k + o + shey
[3基] kosholda  ->  k + o + sholda
[2基] kotaly  ->  k + otaly
[2基] kotchody  ->  k + otchody
[2基] kotchy  ->  k + otchy
[2基] kotody  ->  k + otody
[2基] kschdy  ->  k + schdy
[4基] kshardy  ->  k + s + ha + rdy
[4基] ksholochey  ->  k + s + h + olochey
[2基] kshoraiin  ->  k + shoraiin
[2基] kshotol  ->  k + shotol
[2基] kydeedy  ->  k + ydeedy
[2基] kyty  ->  k + yty
[3基] laldan  ->  l + a + ldan
[3基] larorol  ->  l + a + rorol
[4基] lcharar  ->  l + c + ha + rar
[4基] lchealaiin  ->  l + c + hea + laiin
[4基] lchealaim  ->  l + c + hea + laim
[4基] lcheckhedy  ->  l + c + he + ckhedy
[4基] lcheckhey  ->  l + c + he + ckhey
[4基] lcheckhy  ->  l + c + he + ckhy
[4基] lcheg  ->  l + c + he + g
[4基] lcheoekam  ->  l + c + he + oekam
[4基] lcheolshedy  ->  l + c + he + olshedy
[4基] lcheylchy  ->  l + c + he + ylchy
[4基] lcholkaiin  ->  l + c + h + olkaiin
[3基] lchpchdy  ->  l + c + hpchdy
[4基] ldalor  ->  l + d + a + lor
[3基] liiram  ->  l + i + iram
[4基] lkaldy  ->  l + k + a + ldy
[4基] lkalol  ->  l + k + a + lol
[4基] lkarchees  ->  l + k + a + rchees
[4基] lkarshar  ->  l + k + ar + shar
[4基] lkechedy  ->  l + k + e + chedy
[4基] lkeches  ->  l + k + e + ches
[4基] lkechey  ->  l + k + e + chey
[4基] lkedeed  ->  l + k + e + deed
[4基] lkedey  ->  l + k + e + dey
[4基] lkedlkey  ->  l + k + ed + lkey
[4基] lkedshedy  ->  l + k + e + dshedy
[4基] lkeechey  ->  l + k + ee + chey
[4基] lkeede  ->  l + k + ee + de
[4基] lkeeshedy  ->  l + k + ee + shedy
[4基] lkeoldy  ->  l + k + e + oldy
[4基] lkeopol  ->  l + k + e + opol
[3基] lklcheol  ->  l + k + lcheol
[3基] lkshykchy  ->  l + k + shykchy
[2基] lohedy  ->  l + ohedy
[2基] lohor  ->  l + ohor
[2基] lolchor  ->  l + olchor
[2基] lolkaiin  ->  l + olkaiin
[2基] lolkair  ->  l + olkair
[2基] lolkedy  ->  l + olkedy
[2基] lolkeol  ->  l + olkeol
[4基] loralody  ->  l + o + ra + lody
[3基] lpychol  ->  l + p + ychol
[2基] lsh  ->  l + sh
[2基] lshaiir  ->  l + shaiir
[4基] lshalshy  ->  l + s + hal + shy
[2基] lshar  ->  l + shar
[2基] lshckhy  ->  l + shckhy
[2基] lshcthy  ->  l + shcthy
[2基] lshd  ->  l + shd
[2基] lshdaiin  ->  l + shdaiin
[2基] lshdar  ->  l + shdar
[2基] lshdy  ->  l + shdy
[4基] lshdyqo  ->  l + s + hd + yqo
[2基] lshechy  ->  l + shechy
[4基] lsheckhedy  ->  l + s + he + ckhedy
[4基] lsheckhy  ->  l + s + he + ckhy
[2基] lshed  ->  l + shed
[2基] lshedary  ->  l + shedary
[2基] lshedy  ->  l + shedy
[2基] lshee  ->  l + shee
[2基] lsheedain  ->  l + sheedain
[2基] lsheedy  ->  l + sheedy
[2基] lshees  ->  l + shees
[2基] lsheetal  ->  l + sheetal
[2基] lsheey  ->  l + sheey
[4基] lsheg  ->  l + s + he + g
[2基] lshekain  ->  l + shekain
[2基] lsheo  ->  l + sheo
[2基] lsheody  ->  l + sheody
[2基] lsheok  ->  l + sheok
[2基] lsheol  ->  l + sheol
[4基] lsheotey  ->  l + s + he + otey
[2基] lshes  ->  l + shes
[2基] lshety  ->  l + shety
[2基] lshey  ->  l + shey
[2基] lshl  ->  l + shl
[2基] lsho  ->  l + sho
[2基] lshodair  ->  l + shodair
[2基] lshody  ->  l + shody
[2基] lshor  ->  l + shor
[2基] lshy  ->  l + shy
[4基] ltalor  ->  l + t + a + lor
[2基] mar  ->  m + ar
[2基] mol  ->  m + ol
[3基] oaan  ->  o + a + an
[3基] oafoaly  ->  o + a + foaly
[3基] oairar  ->  o + a + irar
[4基] oaithy  ->  o + a + it + hy
[3基] oalchdm  ->  o + a + lchdm
[4基] oalcheg  ->  o + a + lche + g
[3基] oalcheol  ->  o + a + lcheol
[3基] oaldar  ->  o + a + ldar
[3基] oaldary  ->  o + a + ldary
[3基] oaorar  ->  o + a + orar
[3基] oaram  ->  o + a + ram
[4基] ocfhhy  ->  o + cf + h + hy
[3基] ocfshy  ->  o + c + fshy
[4基] ocheoithey  ->  o + c + heoit + hey
[4基] ochepalain  ->  o + c + hepa + lain
[4基] ochepchody  ->  o + c + he + pchody
[3基] ochkchar  ->  o + c + hkchar
[3基] ochockhy  ->  o + c + hockhy
[4基] ochodare  ->  o + c + hoda + re
[4基] ochoiky  ->  o + c + h + oiky
[3基] ochokeey  ->  o + c + hokeey
[3基] ocholdy  ->  o + c + holdy
[4基] ocholshod  ->  o + c + h + olshod
[4基] ockhh  ->  o + ck + h + h
[4基] ockhhy  ->  o + ck + h + hy
[4基] ockhoees  ->  o + c + k + hoees
[3基] ocko  ->  o + c + ko
[4基] ocphoraiin  ->  o + c + p + horaiin
[4基] octhede  ->  o + ct + he + de
[4基] octhole  ->  o + ct + h + ole
[3基] octy  ->  o + c + ty
[4基] odalaly  ->  o + d + a + laly
[4基] odalar  ->  o + d + a + lar
[4基] odaldy  ->  o + d + a + ldy
[4基] odalydary  ->  o + d + a + lydary
[4基] odarchdy  ->  o + d + a + rchdy
[4基] odariin  ->  o + d + a + riin
[4基] odchecthy  ->  o + d + che + cthy
[4基] odeeeeodl  ->  o + d + e + eeeodl
[4基] odeeeey  ->  o + d + e + eeey
[3基] oechedy  ->  o + e + chedy
[4基] oeecthy  ->  o + e + e + cthy
[4基] oeedey  ->  o + e + e + dey
[3基] oeeees  ->  o + e + eees
[4基] oeeockhy  ->  o + e + e + ockhy
[4基] oeeolchy  ->  o + e + e + olchy
[4基] oeeoty  ->  o + e + e + oty
[4基] oeeseary  ->  o + e + e + seary
[4基] oeesordy  ->  o + e + e + sordy
[4基] oekaody  ->  o + e + ka + ody
[3基] oekchdy  ->  o + e + kchdy
[3基] oekeedy  ->  o + e + keedy
[3基] oekeeor  ->  o + e + keeor
[3基] oekeey  ->  o + e + keey
[3基] oekeody  ->  o + e + keody
[3基] oekeol  ->  o + e + keol
[3基] oekes  ->  o + e + kes
[3基] oekey  ->  o + e + key
[3基] oekshy  ->  o + e + kshy
[4基] oeoikhy  ->  o + e + oik + hy
[3基] oeola  ->  o + e + ola
[3基] oeoldan  ->  o + e + oldan
[4基] oepchksheey  ->  o + e + pc + hksheey
[3基] oepchol  ->  o + e + pchol
[4基] oesearees  ->  o + e + sea + rees
[4基] oetalchg  ->  o + e + ta + lchg
[3基] oetchdy  ->  o + e + tchdy
[3基] oeteody  ->  o + e + teody
[3基] oeteos  ->  o + e + teos
[4基] ofacfom  ->  o + fa + c + fom
[4基] ofadain  ->  o + f + a + dain
[4基] ofakal  ->  o + f + a + kal
[4基] ofalaiin  ->  o + f + a + laiin
[4基] ofalals  ->  o + f + a + lals
[4基] ofalar  ->  o + f + a + lar
[4基] ofaldo  ->  o + f + a + ldo
[4基] ofaral  ->  o + f + a + ral
[4基] ofaralar  ->  o + fa + ra + lar
[4基] ofaram  ->  o + f + a + ram
[4基] ofaramoty  ->  o + fa + ram + oty
[4基] ofaror  ->  o + f + a + ror
[4基] ofchdysd  ->  o + f + c + hdysd
[4基] ofchoshy  ->  o + f + c + hoshy
[3基] oforain  ->  o + f + orain
[3基] oforam  ->  o + f + oram
[3基] ofseod  ->  o + f + seod
[3基] ofsholdy  ->  o + f + sholdy
[3基] ofychey  ->  o + f + ychey
[3基] ofyskydal  ->  o + f + yskydal
[3基] ogeom  ->  o + g + eom
[4基] oifhedy  ->  o + i + f + hedy
[4基] oiinal  ->  o + i + in + al
[4基] oiinar  ->  o + i + in + ar
[4基] oiinol  ->  o + i + in + ol
[4基] oikhy  ->  o + i + k + hy
[4基] oinaly  ->  o + i + n + aly
[4基] oinysarx  ->  o + in + ysa + rx
[3基] oirsg  ->  o + i + rsg
[4基] oithy  ->  o + i + t + hy
[4基] okachey  ->  o + k + a + chey
[4基] okadaiin  ->  o + k + a + daiin
[4基] okadar  ->  o + k + a + dar
[4基] okaeechey  ->  o + ka + ee + chey
[4基] okag  ->  o + k + a + g
[4基] okaifhhy  ->  o + kaif + h + hy
[4基] okaifhy  ->  o + k + aif + hy
[4基] okaiifchody  ->  o + k + ai + ifchody
[4基] okaiikhal  ->  o + k + aiik + hal
[4基] okaikaly  ->  o + k + a + ikaly
[4基] okaildy  ->  o + k + a + ildy
[4基] okairady  ->  o + k + a + irady
[4基] okaircham  ->  o + k + a + ircham
[4基] okairody  ->  o + k + a + irody
[4基] okalaiin  ->  o + k + a + laiin
[4基] okalain  ->  o + k + a + lain
[4基] okalair  ->  o + k + a + lair
[4基] okalal  ->  o + k + a + lal
[4基] okalam  ->  o + k + a + lam
[4基] okalar  ->  o + k + a + lar
[4基] okalchal  ->  o + k + a + lchal
[4基] okalchdy  ->  o + k + a + lchdy
[4基] okalched  ->  o + k + a + lched
[4基] okalchedy  ->  o + k + a + lchedy
[4基] okalcheg  ->  o + ka + lche + g
[4基] okalchy  ->  o + k + a + lchy
[4基] okald  ->  o + k + a + ld
[4基] okalda  ->  o + k + a + lda
[4基] okaldain  ->  o + k + a + ldain
[4基] okaldal  ->  o + k + a + ldal
[4基] okaldy  ->  o + k + a + ldy
[4基] okalody  ->  o + k + a + lody
[4基] okalol  ->  o + k + a + lol
[4基] okalor  ->  o + k + a + lor
[4基] okalsalchey  ->  o + ka + lsa + lchey
[4基] okalshdy  ->  o + k + al + shdy
[4基] okalshey  ->  o + k + al + shey
[4基] okalys  ->  o + k + a + lys
[4基] okaor  ->  o + k + a + or
[4基] okaos  ->  o + k + a + os
[4基] okaraiin  ->  o + k + a + raiin
[4基] okaral  ->  o + k + a + ral
[4基] okaralet  ->  o + ka + ra + let
[4基] okaraly  ->  o + k + a + raly
[4基] okaram  ->  o + k + a + ram
[4基] okarar  ->  o + k + a + rar
[4基] okarchy  ->  o + k + a + rchy
[4基] okardy  ->  o + k + a + rdy
[4基] okarol  ->  o + k + a + rol
[4基] okasor  ->  o + k + a + sor
[4基] okchafdy  ->  o + k + cha + fdy
[4基] okcharaiin  ->  o + k + cha + raiin
[4基] okchdldlo  ->  o + k + c + hdldlo
[4基] okchdpchy  ->  o + k + c + hdpchy
[4基] okcheeg  ->  o + k + chee + g
[4基] okcheochy  ->  o + k + che + ochy
[4基] okchhy  ->  o + k + ch + hy
[4基] okchochor  ->  o + k + c + hochor
[4基] okchocthy  ->  o + k + c + hocthy
[4基] okchodeey  ->  o + k + c + hodeey
[4基] okchodshy  ->  o + k + c + hodshy
[4基] okchokol  ->  o + k + c + hokol
[4基] okchokshy  ->  o + k + c + hokshy
[4基] okchoteees  ->  o + k + c + hoteees
[4基] okearcheol  ->  o + k + ea + rcheol
[4基] okechdaral  ->  o + k + echda + ral
[4基] okecheay  ->  o + k + e + cheay
[4基] okechedy  ->  o + k + e + chedy
[4基] okecheey  ->  o + k + e + cheey
[4基] okechey  ->  o + k + e + chey
[4基] okechoked  ->  o + k + ec + hoked
[4基] okedalor  ->  o + k + eda + lor
[4基] okedes  ->  o + k + e + des
[4基] okedyted  ->  o + k + e + dyted
[4基] okeearam  ->  o + k + eea + ram
[4基] okeedaky  ->  o + k + eeda + ky
[4基] okeedaram  ->  o + k + eeda + ram
[4基] okeedchsy  ->  o + k + ee + dchsy
[4基] okeedey  ->  o + k + ee + dey
[4基] okeeees  ->  o + k + e + eees
[4基] okeeesey  ->  o + k + eee + sey
[4基] okeeeykchy  ->  o + k + eee + ykchy
[4基] okeeg  ->  o + k + ee + g
[4基] okeeokain  ->  o + k + ee + okain
[4基] okeeolkcheey  ->  o + k + ee + olkcheey
[4基] okeeoraiin  ->  o + k + ee + oraiin
[4基] okeesodar  ->  o + k + ee + sodar
[4基] okeeylchedy  ->  o + k + ee + ylchedy
[4基] okeeyteedy  ->  o + k + ee + yteedy
[4基] okehdy  ->  o + k + e + hdy
[4基] okeockhey  ->  o + k + e + ockhey
[4基] okeoeeey  ->  o + k + e + oeeey
[4基] okeoekol  ->  o + k + e + oekol
[4基] okeohdar  ->  o + k + e + ohdar
[4基] okeokain  ->  o + k + e + okain
[4基] okeokear  ->  o + k + e + okear
[4基] okeokedr  ->  o + k + e + okedr
[4基] okeokeokeody  ->  o + ke + oke + okeody
[4基] okeoky  ->  o + k + e + oky
[4基] okeolaiin  ->  o + k + e + olaiin
[4基] okeolan  ->  o + k + e + olan
[4基] okeolar  ->  o + k + e + olar
[4基] okeoldy  ->  o + k + e + oldy
[4基] okeolkey  ->  o + k + e + olkey
[4基] okeoloky  ->  o + k + e + oloky
[4基] okeolol  ->  o + k + e + olol
[4基] okeolor  ->  o + k + e + olor
[4基] okeolshey  ->  o + k + e + olshey
[4基] okeoram  ->  o + k + e + oram
[4基] okeoschso  ->  o + k + e + oschso
[4基] okeoteey  ->  o + k + e + oteey
[4基] okeserr  ->  o + k + e + serr
[4基] okeshedy  ->  o + k + e + shedy
[4基] okeshey  ->  o + k + e + shey
[4基] okesoe  ->  o + k + e + soe
[4基] okeytam  ->  o + k + e + ytam
[4基] okeyteey  ->  o + k + e + yteey
[4基] okeyty  ->  o + k + e + yty
[3基] okhar  ->  o + k + har
[4基] okilcheol  ->  o + k + i + lcheol
[4基] okinaiir  ->  o + k + in + aiir
[4基] okirolcy  ->  o + k + i + rolcy
[4基] oklairdy  ->  o + k + la + irdy
[3基] okochey  ->  o + k + ochey
[3基] okockhy  ->  o + k + ockhy
[3基] okodchy  ->  o + k + odchy
[3基] okodeey  ->  o + k + odeey
[4基] okoeese  ->  o + k + oee + se
[3基] okoeey  ->  o + k + oeey
[3基] okoeos  ->  o + k + oeos
[3基] okoey  ->  o + k + oey
[3基] okokchal  ->  o + k + okchal
[3基] okokchodm  ->  o + k + okchodm
[3基] okokom  ->  o + k + okom
[3基] okoksheo  ->  o + k + oksheo
[3基] okolaiin  ->  o + k + olaiin
[3基] okolair  ->  o + k + olair
[4基] okolaldy  ->  o + k + ola + ldy
[3基] okolar  ->  o + k + olar
[4基] okolarm  ->  o + k + ola + rm
[3基] okolchey  ->  o + k + olchey
[3基] okolchy  ->  o + k + olchy
[3基] okoldaly  ->  o + k + oldaly
[3基] okoldam  ->  o + k + oldam
[3基] okoldm  ->  o + k + oldm
[3基] okoldody  ->  o + k + oldody
[3基] okoldy  ->  o + k + oldy
[4基] okoleeolar  ->  o + k + olee + olar
[3基] okolol  ->  o + k + olol
[3基] okolor  ->  o + k + olor
[3基] okolraiin  ->  o + k + olraiin
[3基] okolshy  ->  o + k + olshy
[3基] okolyd  ->  o + k + olyd
[3基] okooky  ->  o + k + ooky
[3基] okoraiin  ->  o + k + oraiin
[3基] okorair  ->  o + k + orair
[3基] okoral  ->  o + k + oral
[4基] okoraldy  ->  o + k + ora + ldy
[4基] okoramog  ->  o + k + oram + og
[3基] okoroeey  ->  o + k + oroeey
[3基] okorory  ->  o + k + orory
[3基] oksedy  ->  o + k + sedy
[3基] okseey  ->  o + k + seey
[3基] okseo  ->  o + k + seo
[3基] okshchedy  ->  o + k + shchedy
[3基] okshodeeen  ->  o + k + shodeeen
[4基] oksholshol  ->  o + k + sh + olshol
[4基] okydseog  ->  o + kyd + se + og
[3基] okyeeshy  ->  o + k + yeeshy
[3基] okyld  ->  o + k + yld
[3基] okylky  ->  o + k + ylky
[3基] okylor  ->  o + k + ylor
[3基] okytaiin  ->  o + k + ytaiin
[4基] olaen  ->  o + l + a + en
[4基] olaiior  ->  o + l + ai + ior
[4基] olaikhy  ->  o + l + aik + hy
[4基] olalaiin  ->  o + l + a + laiin
[4基] olald  ->  o + l + a + ld
[4基] olaldy  ->  o + l + a + ldy
[4基] olalor  ->  o + l + a + lor
[4基] olaraly  ->  o + l + a + raly
[4基] olaran  ->  o + l + a + ran
[4基] olcheckhy  ->  o + l + che + ckhy
[4基] olcheesey  ->  o + l + chee + sey
[4基] olchocfhy  ->  o + l + c + hocfhy
[4基] olchokal  ->  o + l + c + hokal
[4基] olcsedy  ->  o + l + c + sedy
[4基] olcthhy  ->  o + l + cth + hy
[4基] oleeckhey  ->  o + l + ee + ckhey
[4基] oleesey  ->  o + l + ee + sey
[4基] olekeey  ->  o + l + e + keey
[4基] oleoeder  ->  o + le + oe + der
[4基] olfsheoral  ->  o + l + fshe + oral
[4基] olkalaiin  ->  o + l + ka + laiin
[4基] olkalol  ->  o + l + ka + lol
[4基] olkardam  ->  o + l + ka + rdam
[4基] olkchokeedy  ->  o + l + kc + hokeedy
[4基] olkeechey  ->  o + l + kee + chey
[4基] olkeeoldy  ->  o + l + kee + oldy
[4基] olkeeycthy  ->  o + l + kee + ycthy
[4基] olkeshey  ->  o + l + ke + shey
[2基] ollchy  ->  o + llchy
[4基] oloeorain  ->  o + l + oe + orain
[3基] olohy  ->  o + l + ohy
[3基] oloiram  ->  o + l + oiram
[3基] ololchey  ->  o + l + olchey
[4基] olpoikhy  ->  o + l + poik + hy
[2基] olqo  ->  o + lqo
[4基] olseeg  ->  o + l + see + g
[2基] olsey  ->  o + lsey
[4基] oltshsey  ->  o + l + tsh + sey
[3基] omam  ->  o + m + am
[4基] oochockhy  ->  o + o + c + hockhy
[4基] ooooooooolarsr  ->  o + o + ooooo + oolarsr
[4基] opaichy  ->  o + p + a + ichy
[4基] opaiinar  ->  o + p + aiin + ar
[4基] opaiiral  ->  o + p + ai + iral
[4基] opairaly  ->  o + p + a + iraly
[4基] opairam  ->  o + p + a + iram
[4基] opakam  ->  o + p + a + kam
[4基] opalal  ->  o + p + a + lal
[4基] opalam  ->  o + p + a + lam
[4基] opalar  ->  o + p + a + lar
[4基] opalchdy  ->  o + p + a + lchdy
[4基] opaldaiin  ->  o + p + a + ldaiin
[4基] opaldy  ->  o + p + a + ldy
[4基] opalefom  ->  o + p + a + lefom
[4基] opalg  ->  o + p + a + lg
[4基] opalkaiin  ->  o + p + a + lkaiin
[4基] opalkam  ->  o + p + a + lkam
[4基] opalkar  ->  o + p + a + lkar
[4基] opalke  ->  o + p + a + lke
[4基] opaloiiry  ->  o + p + a + loiiry
[4基] opalor  ->  o + p + a + lor
[4基] opalshedy  ->  o + p + al + shedy
[4基] oparairdly  ->  o + pa + ra + irdly
[4基] oparal  ->  o + p + a + ral
[4基] oparam  ->  o + p + a + ram
[4基] opchaikhy  ->  o + p + chaik + hy
[4基] opchaldy  ->  o + p + cha + ldy
[4基] opcharoiin  ->  o + p + cha + roiin
[4基] opchdard  ->  o + p + chda + rd
[4基] opchealol  ->  o + p + chea + lol
[4基] opcheolfy  ->  o + p + che + olfy
[4基] opcholalaiin  ->  o + pc + hola + laiin
[4基] opcholdg  ->  o + p + ch + oldg
[4基] opcholdy  ->  o + p + c + holdy
[4基] opcholor  ->  o + p + c + holor
[4基] opchordy  ->  o + p + c + hordy
[4基] opchsey  ->  o + p + ch + sey
[4基] opchytcy  ->  o + p + c + hytcy
[4基] opcsedy  ->  o + p + c + sedy
[4基] opdaildo  ->  o + p + da + ildo
[4基] opdairody  ->  o + p + da + irody
[4基] opdarshdy  ->  o + p + dar + shdy
[3基] opheey  ->  o + p + heey
[3基] opocphor  ->  o + p + ocphor
[3基] opodchol  ->  o + p + odchol
[3基] opoees  ->  o + p + oees
[3基] opoeey  ->  o + p + oeey
[4基] opoiisooin  ->  o + p + oii + sooin
[3基] opolaiin  ->  o + p + olaiin
[3基] opolkeor  ->  o + p + olkeor
[3基] opolkod  ->  o + p + olkod
[3基] opoloiin  ->  o + p + oloiin
[4基] opomdy  ->  o + p + om + dy
[3基] oporaiin  ->  o + p + oraiin
[3基] oporar  ->  o + p + orar
[3基] oporody  ->  o + p + orody
[3基] opotey  ->  o + p + otey
[4基] opsheolaiin  ->  o + p + she + olaiin
[4基] opsheytey  ->  o + p + she + ytey
[3基] opsholal  ->  o + p + sholal
[3基] opydg  ->  o + p + ydg
[3基] opykey  ->  o + p + ykey
[4基] oracphy  ->  o + r + a + cphy
[4基] orairody  ->  o + r + a + irody
[4基] oralady  ->  o + r + a + lady
[4基] oralar  ->  o + r + a + lar
[4基] oralaror  ->  o + ra + la + ror
[4基] orald  ->  o + r + a + ld
[4基] oraloly  ->  o + r + a + loly
[4基] oranol  ->  o + r + an + ol
[4基] orara  ->  o + r + a + ra
[4基] oraroekeol  ->  o + ra + roe + keol
[4基] orarol  ->  o + r + a + rol
[4基] orarorchy  ->  o + r + a + rorchy
[4基] oraryteop  ->  o + r + a + ryteop
[4基] orasaly  ->  o + r + a + saly
[4基] orchoer  ->  o + r + c + hoer
[4基] orchsey  ->  o + r + ch + sey
[2基] orlchey  ->  o + rlchey
[4基] orokeeeey  ->  o + r + oke + eeey
[3基] orolgy  ->  o + r + olgy
[3基] orolkain  ->  o + r + olkain
[3基] orolodain  ->  o + r + olodain
[4基] orsheckhy  ->  o + r + she + ckhy
[4基] orsheoldy  ->  o + r + she + oldy
[4基] osaiisal  ->  o + s + ai + isal
[4基] osalal  ->  o + s + a + lal
[4基] oschotshl  ->  o + s + c + hotshl
[2基] osh  ->  o + sh
[2基] oshaiin  ->  o + shaiin
[2基] oshchey  ->  o + shchey
[2基] oshctho  ->  o + shctho
[2基] oshdy  ->  o + shdy
[2基] oshedy  ->  o + shedy
